elapsed_sec,frame_ms,draw_calls
20.049,16.954,217
20.066,16.524,223
20.082,16.628,227
20.099,16.841,231
20.116,16.459,225
20.132,16.714,232
20.149,16.671,232
20.166,16.887,234
20.182,16.460,234
20.199,16.694,234
20.216,16.935,234
20.232,16.424,234
20.249,16.802,243
20.266,16.759,248
20.283,16.697,244
20.299,16.711,247
20.316,16.589,250
20.333,16.769,246
20.349,16.688,248
20.366,16.632,250
20.383,16.810,251
20.399,16.532,254
20.416,16.730,262
20.433,16.733,268
20.449,16.594,268
20.466,16.396,265
20.483,16.703,269
20.499,16.743,265
20.516,16.821,270
20.533,16.727,270
20.549,16.484,266
20.566,16.663,269
20.583,16.659,275
20.599,16.668,283
20.616,16.772,285
20.633,16.817,278
20.649,16.486,284
20.666,16.794,285
20.683,16.693,284
20.699,16.595,284
20.716,16.594,282
20.733,16.715,282
20.750,16.889,289
20.766,16.489,299
20.783,16.671,304
20.800,16.764,297
20.816,16.583,304
20.833,16.934,304
20.849,16.119,305
20.866,16.986,304
20.883,16.731,304
20.900,16.676,300
20.916,16.635,299
20.933,16.692,313
20.950,16.718,317
20.966,16.875,317
20.983,16.430,313
21.000,16.715,319
21.016,16.641,317
21.033,16.660,318
21.050,16.767,320
21.067,16.836,317
21.083,16.725,319
21.100,16.411,332
21.117,16.882,335
21.133,16.438,336
21.150,16.835,328
21.167,16.709,334
21.183,16.582,332
21.200,16.707,336
21.216,16.620,338
21.233,16.756,337
21.250,16.636,333
21.267,16.658,335
21.283,16.676,347
21.300,16.671,349
21.317,16.739,344
21.334,17.006,348
21.350,16.302,350
21.367,16.829,346
21.384,17.063,349
21.400,15.959,348
21.417,16.967,344
21.433,16.656,346
21.450,16.610,358
21.467,16.711,364
21.483,16.634,360
21.500,16.774,357
21.517,16.629,361
21.533,16.770,359
21.550,16.638,362
21.567,16.603,363
21.583,16.710,356
21.600,16.762,355
21.617,16.589,360
21.634,16.882,369
21.650,16.489,370
21.667,16.719,364
21.684,16.626,370
21.700,16.678,371
21.717,16.728,370
21.734,16.648,370
21.750,16.655,368
21.767,16.772,367
21.784,16.594,370
21.800,16.665,380
21.817,16.755,381
21.834,16.630,374
21.850,16.695,379
21.867,16.694,377
21.884,16.640,378
21.900,16.696,378
21.917,16.656,382
21.934,16.793,377
21.950,16.636,372
21.967,16.562,377
21.984,16.693,385
22.001,16.891,383
22.017,16.521,376
22.034,16.683,381
22.051,17.210,381
22.067,15.955,379
22.084,17.088,385
22.101,16.469,381
22.117,16.674,377
22.134,16.763,382
22.151,16.625,384
22.168,17.239,386
22.184,15.918,378
22.201,16.902,382
22.217,16.646,381
22.234,16.712,381
22.251,16.726,383
22.268,17.039,382
22.284,16.498,373
22.301,16.342,372
22.317,16.753,379
22.334,16.677,382
22.351,16.937,379
22.368,16.610,377
22.384,16.693,378
22.401,16.503,375
22.417,16.680,378
22.435,17.044,376
22.451,16.348,370
22.468,16.776,370
22.484,16.505,374
22.501,16.713,378
22.518,16.800,377
22.535,16.883,373
22.551,16.563,374
22.568,16.451,373
22.584,16.916,375
22.601,16.441,373
22.618,16.718,365
22.634,16.880,364
22.651,16.772,367
22.668,16.370,375
22.684,16.631,376
22.701,16.746,370
22.718,16.664,373
22.734,16.592,372
22.751,16.730,374
22.768,16.862,373
22.784,16.520,375
22.801,16.810,367
22.818,16.520,367
22.834,16.716,370
22.851,16.702,374
22.868,16.759,372
22.885,16.785,372
22.901,16.480,371
22.918,16.727,371
22.935,17.070,371
22.951,16.252,374
22.968,16.598,366
22.985,16.800,367
23.001,16.592,369
23.018,16.750,374
23.035,16.651,374
23.051,16.731,369
23.068,16.577,373
23.085,16.856,371
23.101,16.633,373
23.118,16.840,372
