elapsed_sec,frame_ms,draw_calls
9.698,10.033,186
9.712,13.332,191
9.723,11.600,191
9.731,7.993,186
9.740,8.765,187
9.753,13.253,190
9.763,9.483,190
9.773,10.416,189
9.782,8.387,185
9.794,12.308,181
9.805,11.487,178
9.815,9.270,179
9.826,11.489,182
9.838,11.657,177
9.848,10.366,177
9.858,9.352,176
9.867,9.662,176
9.880,12.499,174
9.890,10.729,175
9.900,9.345,174
9.911,10.984,168
9.922,11.135,172
9.934,11.590,172
9.945,11.057,168
9.956,10.914,165
9.964,8.198,162
9.975,11.666,165
9.987,11.741,162
9.996,8.927,166
10.007,10.919,169
10.019,11.800,168
10.029,9.817,168
10.039,10.408,170
10.048,9.376,175
10.059,10.506,178
10.070,10.804,177
10.080,10.580,173
10.089,8.629,177
10.098,8.859,179
10.110,11.825,179
10.120,10.653,179
10.130,10.079,172
10.143,12.683,170
10.154,11.138,169
10.165,11.070,165
10.173,7.524,165
10.182,9.676,168
10.195,13.017,169
10.204,8.526,169
10.213,8.921,167
10.223,10.199,168
10.233,9.686,169
10.242,8.960,168
10.253,10.875,164
10.265,12.219,163
10.276,10.861,166
10.286,10.158,166
10.297,10.767,162
10.307,10.760,160
10.318,10.230,157
10.328,10.458,156
10.338,10.287,149
10.353,14.473,150
10.364,11.051,149
10.374,10.022,150
10.385,11.344,147
10.398,12.663,150
10.409,11.432,149
10.417,7.713,148
10.427,9.922,143
10.438,11.298,144
10.448,10.231,145
10.461,13.012,147
10.475,13.213,148
10.486,11.315,142
10.495,9.222,145
10.508,12.687,144
10.520,12.218,144
10.528,8.234,146
10.538,9.317,148
10.549,11.004,151
10.559,10.415,149
10.568,9.222,150
10.578,9.649,151
10.590,11.930,151
10.603,13.243,146
10.614,11.332,150
10.627,12.835,151
10.639,11.508,151
10.650,11.627,149
10.657,7.021,147
10.668,10.558,147
10.680,12.263,147
10.688,7.757,143
10.696,8.135,144
10.705,8.920,145
10.715,9.808,145
10.723,8.464,145
10.734,10.126,142
10.744,10.169,145
10.752,7.900,144
10.761,9.795,143
10.771,9.399,138
10.780,9.259,138
10.788,7.562,139
10.800,12.222,140
10.810,9.933,137
10.818,8.401,131
10.826,8.168,129
10.836,9.676,129
10.849,12.755,128
